latitude,longitude,temperature
41.375,18.375,0.54
41.375,18.435,0.51
41.375,18.495,0.55
41.375,18.555,0.53
41.375,18.615,0.51
41.375,18.675,0.49
41.375,18.735,0.48
41.375,18.795,0.46
41.375,18.855,0.46
41.375,18.915,0.45
41.375,18.975,0.48
41.375,19.035,0.46
41.375,19.095,0.43
41.375,19.155,0.40
41.375,19.215,0.39
41.375,19.275,0.38
41.375,19.335,0.36
41.375,19.395,0.38
41.375,19.455,0.40
41.375,19.515,0.39
41.375,19.575,0.41
41.375,19.635,0.41
41.375,19.695,0.41
41.375,19.755,0.43
41.375,19.815,0.43
41.375,19.875,0.48
41.375,19.935,0.53
41.375,19.995,0.62
41.375,20.055,0.76
41.375,20.115,0.76
41.375,20.175,0.75
41.375,20.235,0.77
41.375,20.295,0.92
41.375,20.355,0.67
41.375,20.415,0.66
41.375,20.475,0.78
41.375,20.535,0.78
41.375,20.595,0.60
41.375,20.655,0.80
41.375,20.715,0.99
41.375,20.775,0.88
41.375,20.835,0.64
41.375,20.895,0.80
41.375,20.955,0.75
41.375,21.015,0.66
41.375,21.075,0.82
41.375,21.135,0.80
41.375,21.195,0.69
41.375,21.255,0.71
41.375,21.315,0.55
41.375,21.375,0.50
41.375,21.435,0.50
41.375,21.495,0.50
41.375,21.555,0.51
41.375,21.615,0.51
41.375,21.675,0.63
41.375,21.735,0.42
41.375,21.795,0.40
41.375,21.855,0.45
41.375,21.915,0.38
41.375,21.975,0.35
41.375,22.035,0.39
41.375,22.095,0.41
41.375,22.155,0.34
41.375,22.215,0.33
41.375,22.275,0.43
41.375,22.335,0.34
41.375,22.395,0.33
41.375,22.455,0.35
41.375,22.515,0.43
41.375,22.575,0.38
41.375,22.635,0.41
41.375,22.695,0.41
41.375,22.755,0.39
41.375,22.815,0.38
41.375,22.875,0.41
41.375,22.935,0.37
41.375,22.995,0.37
41.375,23.055,0.37
41.375,23.115,0.35
41.375,23.175,0.39
41.375,23.235,0.46
41.375,23.295,0.38
41.375,23.355,0.34
41.435,18.375,0.57
41.435,18.435,0.55
41.435,18.495,0.53
41.435,18.555,0.51
41.435,18.615,0.49
41.435,18.675,0.48
41.435,18.735,0.47
41.435,18.795,0.45
41.435,18.855,0.44
41.435,18.915,0.48
41.435,18.975,0.47
41.435,19.035,0.44
41.435,19.095,0.41
41.435,19.155,0.39
41.435,19.215,0.38
41.435,19.275,0.37
41.435,19.335,0.36
41.435,19.395,0.37
41.435,19.455,0.38
41.435,19.515,0.39
41.435,19.575,0.41
41.435,19.635,0.41
41.435,19.695,0.42
41.435,19.755,0.43
41.435,19.815,0.47
41.435,19.875,0.50
41.435,19.935,0.48
41.435,19.995,0.60
41.435,20.055,0.61
41.435,20.115,0.61
41.435,20.175,0.63
41.435,20.235,0.86
41.435,20.295,0.98
41.435,20.355,0.62
41.435,20.415,0.55
41.435,20.475,0.61
41.435,20.535,0.62
41.435,20.595,0.68
41.435,20.655,1.20
41.435,20.715,1.04
41.435,20.775,0.75
41.435,20.835,0.73
41.435,20.895,0.62
41.435,20.955,0.60
41.435,21.015,0.57
41.435,21.075,0.93
41.435,21.135,0.77
41.435,21.195,0.96
41.435,21.255,0.60
41.435,21.315,0.52
41.435,21.375,0.51
41.435,21.435,0.52
41.435,21.495,0.51
41.435,21.555,0.51
41.435,21.615,0.61
41.435,21.675,0.65
41.435,21.735,0.42
41.435,21.795,0.37
41.435,21.855,0.35
41.435,21.915,0.32
41.435,21.975,0.33
41.435,22.035,0.32
41.435,22.095,0.32
41.435,22.155,0.31
41.435,22.215,0.32
41.435,22.275,0.39
41.435,22.335,0.44
41.435,22.395,0.41
41.435,22.455,0.42
41.435,22.515,0.38
41.435,22.575,0.36
41.435,22.635,0.33
41.435,22.695,0.33
41.435,22.755,0.35
41.435,22.815,0.35
41.435,22.875,0.41
